eventNumber,eventRound,eventResults,eventOpponent,eventOpponentCountry,eventScore,eventName,playerName,playerCountry,playerLast,playerFirst,eventVenue,eventDates,eventCategory,eventGrade,eventEntry,eventSurface,eventIndoorOutdoor,eventOpponentID,player_ID
1.0,64,W,"KODAT, Toby Alex",USA,6-2 6-0,US Open Junior Tennis Championships,"TSENG, Chun Hsin",TPE,TSENG,Chun Hsin,"New York, USA",02 Sep - 09 Sep 2018,Singles,Grade A,Entry: DA,Hard,O,100253527,100274778
1.0,32,W,"HENNING, Philip",RSA,5-7 6-1 6-0,US Open Junior Tennis Championships,"TSENG, Chun Hsin",TPE,TSENG,Chun Hsin,"New York, USA",02 Sep - 09 Sep 2018,Singles,Grade A,Entry: DA,Hard,O,100205129,100274778
1.0,16,W,"MAREK, Wojciech",POL,6-2 6-3,US Open Junior Tennis Championships,"TSENG, Chun Hsin",TPE,TSENG,Chun Hsin,"New York, USA",02 Sep - 09 Sep 2018,Singles,Grade A,Entry: DA,Hard,O,100232838,100274778
1.0,QF,W,"ZEPPIERI, Giulio",ITA,7-6(0) 6-2,US Open Junior Tennis Championships,"TSENG, Chun Hsin",TPE,TSENG,Chun Hsin,"New York, USA",02 Sep - 09 Sep 2018,Singles,Grade A,Entry: DA,Hard,O,100233987,100274778
1.0,SF,L,"SEYBOTH WILD, Thiago",BRA,2-6 4-6,US Open Junior Tennis Championships,"TSENG, Chun Hsin",TPE,TSENG,Chun Hsin,"New York, USA",02 Sep - 09 Sep 2018,Singles,Grade A,Entry: DA,Hard,O,100286164,100274778
2.0,64,W,"MAREK, Wojciech",POL,6-2 6-4,"The Junior Championships, Wimbledon","TSENG, Chun Hsin",TPE,TSENG,Chun Hsin,"Wimbledon, Great Britain",07 Jul - 15 Jul 2018,Singles,Grade A,Entry: DA,Grass,O,100232838,100274778
2.0,32,W,"CAZAUX, Arthur",FRA,6-3 6-4,"The Junior Championships, Wimbledon","TSENG, Chun Hsin",TPE,TSENG,Chun Hsin,"Wimbledon, Great Britain",07 Jul - 15 Jul 2018,Singles,Grade A,Entry: DA,Grass,O,100254266,100274778
2.0,16,W,"STYLER, Ondrej",CZE,6-2 6-1,"The Junior Championships, Wimbledon","TSENG, Chun Hsin",TPE,TSENG,Chun Hsin,"Wimbledon, Great Britain",07 Jul - 15 Jul 2018,Singles,Grade A,Entry: DA,Grass,O,100229815,100274778
2.0,QF,W,"HILDERBRAND, Trey",USA,6-2 6-4,"The Junior Championships, Wimbledon","TSENG, Chun Hsin",TPE,TSENG,Chun Hsin,"Wimbledon, Great Britain",07 Jul - 15 Jul 2018,Singles,Grade A,Entry: DA,Grass,O,100266403,100274778
2.0,SF,W,"MU, Tao",CHN,6-3 6-1,"The Junior Championships, Wimbledon","TSENG, Chun Hsin",TPE,TSENG,Chun Hsin,"Wimbledon, Great Britain",07 Jul - 15 Jul 2018,Singles,Grade A,Entry: DA,Grass,O,100271084,100274778
2.0,FR,W,"DRAPER, Jack",GBR,6-1 6-7(2) 6-4,"The Junior Championships, Wimbledon","TSENG, Chun Hsin",TPE,TSENG,Chun Hsin,"Wimbledon, Great Britain",07 Jul - 15 Jul 2018,Singles,Grade A,Entry: DA,Grass,O,100227974,100274778
3.0,64,L,"MATUSEVICH, Anton",GBR,5-4 RET,Junior International Roehampton,"TSENG, Chun Hsin",TPE,TSENG,Chun Hsin,"Roehampton, Great Britain",01 Jul - 06 Jul 2018,Singles,Grade 1,Entry: DA,Grass,O,100210092,100274778
4.0,64,W,"MAYOT, Harold",FRA,6-3 6-2,Roland Garros Junior French Championships,"TSENG, Chun Hsin",TPE,TSENG,Chun Hsin,"Paris, France",03 Jun - 09 Jun 2018,Singles,Grade A,Entry: DA,Clay,O,100245284,100274778
4.0,32,W,"ALVAREZ VARONA, Nicolas",ESP,6-2 6-4,Roland Garros Junior French Championships,"TSENG, Chun Hsin",TPE,TSENG,Chun Hsin,"Paris, France",03 Jun - 09 Jun 2018,Singles,Grade A,Entry: DA,Clay,O,100227072,100274778
4.0,16,W,"REIS DA SILVA, Joao Lucas",BRA,6-1 6-1,Roland Garros Junior French Championships,"TSENG, Chun Hsin",TPE,TSENG,Chun Hsin,"Paris, France",03 Jun - 09 Jun 2018,Singles,Grade A,Entry: DA,Clay,O,100282724,100274778
4.0,QF,W,"MEJIA, Nicolas",COL,6-2 6-3,Roland Garros Junior French Championships,"TSENG, Chun Hsin",TPE,TSENG,Chun Hsin,"Paris, France",03 Jun - 09 Jun 2018,Singles,Grade A,Entry: DA,Clay,O,100226751,100274778
4.0,SF,W,"KORDA, Sebastian",USA,6-2 7-5,Roland Garros Junior French Championships,"TSENG, Chun Hsin",TPE,TSENG,Chun Hsin,"Paris, France",03 Jun - 09 Jun 2018,Singles,Grade A,Entry: DA,Clay,O,100291609,100274778
4.0,FR,W,"BAEZ, Sebastian",ARG,7-6(5) 6-2,Roland Garros Junior French Championships,"TSENG, Chun Hsin",TPE,TSENG,Chun Hsin,"Paris, France",03 Jun - 09 Jun 2018,Singles,Grade A,Entry: DA,Clay,O,100282506,100274778
5.0,64,W,"TORTORA, Davide",ITA,6-1 6-0,59th Trofeo Bonfiglio - Campionati Internazionali d'Italia Juniores,"TSENG, Chun Hsin",TPE,TSENG,Chun Hsin,"Milan, Italy",21 May - 27 May 2018,Singles,Grade A,Entry: DA,Clay,O,100233990,100274778
5.0,32,W,"KINGSLEY, Cannon",USA,4-6 7-6(2) 6-1,59th Trofeo Bonfiglio - Campionati Internazionali d'Italia Juniores,"TSENG, Chun Hsin",TPE,TSENG,Chun Hsin,"Milan, Italy",21 May - 27 May 2018,Singles,Grade A,Entry: DA,Clay,O,100295230,100274778
5.0,16,L,"DIAZ ACOSTA, Facundo",ARG,4-6 6-4 6-7(3),59th Trofeo Bonfiglio - Campionati Internazionali d'Italia Juniores,"TSENG, Chun Hsin",TPE,TSENG,Chun Hsin,"Milan, Italy",21 May - 27 May 2018,Singles,Grade A,Entry: DA,Clay,O,100329088,100274778
6.0,64,W,"AJDUKOVIC, Duje",CRO,6-0 6-2,Australian Open Junior Championships,"TSENG, Chun Hsin",TPE,TSENG,Chun Hsin,"Melbourne, Australia",20 Jan - 27 Jan 2018,Singles,Grade A,Entry: DA,Hard,O,100210620,100274778
6.0,32,W,"ICHIKAWA, Taisei",JPN,6-7(4) 6-3 6-0,Australian Open Junior Championships,"TSENG, Chun Hsin",TPE,TSENG,Chun Hsin,"Melbourne, Australia",20 Jan - 27 Jan 2018,Singles,Grade A,Entry: DA,Hard,O,100263724,100274778
6.0,16,W,"GIMENEZ, Igor",BRA,6-2 7-6(5),Australian Open Junior Championships,"TSENG, Chun Hsin",TPE,TSENG,Chun Hsin,"Melbourne, Australia",20 Jan - 27 Jan 2018,Singles,Grade A,Entry: DA,Hard,O,100262530,100274778
6.0,QF,W,"SKATOV, Timofey",RUS,2-6 6-3 6-2,Australian Open Junior Championships,"TSENG, Chun Hsin",TPE,TSENG,Chun Hsin,"Melbourne, Australia",20 Jan - 27 Jan 2018,Singles,Grade A,Entry: DA,Hard,O,100228382,100274778
6.0,SF,W,"MCHUGH, Aidan",GBR,6-3 5-7 6-4,Australian Open Junior Championships,"TSENG, Chun Hsin",TPE,TSENG,Chun Hsin,"Melbourne, Australia",20 Jan - 27 Jan 2018,Singles,Grade A,Entry: DA,Hard,O,100235871,100274778
6.0,FR,L,"KORDA, Sebastian",USA,6-7(6) 4-6,Australian Open Junior Championships,"TSENG, Chun Hsin",TPE,TSENG,Chun Hsin,"Melbourne, Australia",20 Jan - 27 Jan 2018,Singles,Grade A,Entry: DA,Hard,O,100291609,100274778
7.0,64,W,"PUCINELLI DE ALMEIDA, Matheus",BRA,6-2 6-2,AGL Loy Yang Traralgon Junior International,"TSENG, Chun Hsin",TPE,TSENG,Chun Hsin,"Traralgon, Australia",13 Jan - 18 Jan 2018,Singles,Grade 1,Entry: DA,Hard,O,100248937,100274778
7.0,32,W,"KRUTYKH, Oleksii",UKR,6-3 6-2,AGL Loy Yang Traralgon Junior International,"TSENG, Chun Hsin",TPE,TSENG,Chun Hsin,"Traralgon, Australia",13 Jan - 18 Jan 2018,Singles,Grade 1,Entry: DA,Hard,O,100193019,100274778
7.0,16,L,"MCHUGH, Aidan",GBR,6-7(2) 2-6,AGL Loy Yang Traralgon Junior International,"TSENG, Chun Hsin",TPE,TSENG,Chun Hsin,"Traralgon, Australia",13 Jan - 18 Jan 2018,Singles,Grade 1,Entry: DA,Hard,O,100235871,100274778
8.0,64,W,"NAVA, Emilio",USA,3-6 6-1 7-6(6),Eddie Herr ITF,"TSENG, Chun Hsin",TPE,TSENG,Chun Hsin,"Bradenton, FL, USA",27 Nov - 03 Dec 2017,Singles,Grade 1,Entry: DA,Clay,O,100327421,100274778
8.0,32,L,"ANDREEV, Adrian",BUL,4-6 4-6,Eddie Herr ITF,"TSENG, Chun Hsin",TPE,TSENG,Chun Hsin,"Bradenton, FL, USA",27 Nov - 03 Dec 2017,Singles,Grade 1,Entry: DA,Clay,O,100204396,100274778
